Data,Pessoas ocupadas - Pessoa - Instituto Brasileiro de Geografia e Estatística
2012.03,87632
2012.04,88407
2012.05,88863
2012.06,89129
2012.07,89181
2012.08,89428
2012.09,89639
2012.10,89723
2012.11,89867
2012.12,89857
2013.01,89520
2013.02,89133
2013.03,88999
2013.04,89437
2013.05,89839
2013.06,90099
2013.07,90388
2013.08,90506
2013.09,90707
2013.10,90828
2013.11,91204
2013.12,91403
2014.01,91112
2014.02,91015
2014.03,90782
2014.04,91081
2014.05,91336
2014.06,91577
2014.07,91455
2014.08,91465
2014.09,91795
2014.10,92115
2014.11,92228
2014.12,92396
2015.01,92214
2015.02,91834
2015.03,91555
2015.04,91711
2015.05,91641
2015.06,91750
2015.07,91725
2015.08,91670
2015.09,91635
2015.10,91833
2015.11,91704
2015.12,91800
2016.01,91166
2016.02,90702
2016.03,90216
2016.04,90213
2016.05,90428
2016.06,90379
2016.07,90072
2016.08,89730
2016.09,89433
2016.10,89488
2016.11,89815
2016.12,89871
2017.01,89469
2017.02,88968
2017.03,88579
2017.04,88872
2017.05,89323
2017.06,89872
2017.07,90319
2017.08,90710
2017.09,90953
2017.10,91203
2017.11,91610
2017.12,91770
2018.01,91373
2018.02,90773
2018.03,90272
2018.04,90429
2018.05,90586
2018.06,90941
2018.07,91367
2018.08,91790
2018.09,92333
2018.10,92619
2018.11,92915
2018.12,92736
2019.01,92291
2019.02,91880
2019.03,91863
2019.04,92365
2019.05,92947
2019.06,93342
2019.07,93584
2019.08,93631
2019.09,93801
2019.10,94055
2019.11,94416
2019.12,94552
2020.01,94151
2020.02,93710
2020.03,92223
2020.04,89241
2020.05,85936
2020.06,83347
2020.07,82027
2020.08,81666
2020.09,82464
2020.10,84301
2020.11,85578
2020.12,86179
2021.01,86025
2021.02,85899
2021.03,85650
2021.04,85940
2021.05,86708
2021.06,87791
2021.07,89042
2021.08,90188